time,open,close,high,low
2022-01-24 00:00:00,1.13413,1.13347,1.13414,1.13341
2022-01-24 00:15:00,1.13347,1.13344,1.13355,1.13336
2022-01-24 00:30:00,1.13342,1.13336,1.13350,1.13328
2022-01-24 00:45:00,1.13337,1.13388,1.13409,1.13332
2022-01-24 01:00:00,1.13389,1.13352,1.13398,1.13352
2022-01-24 01:15:00,1.13354,1.13357,1.13358,1.13336
2022-01-24 01:30:00,1.13356,1.13345,1.13383,1.13344
2022-01-24 01:45:00,1.13344,1.13374,1.13375,1.13338
2022-01-24 02:00:00,1.13374,1.13343,1.13380,1.13338
2022-01-24 02:15:00,1.13343,1.13336,1.13361,1.13327
2022-01-24 02:30:00,1.13336,1.13343,1.13351,1.13322
2022-01-24 02:45:00,1.13345,1.13324,1.13355,1.13324
2022-01-24 03:00:00,1.13327,1.13335,1.13342,1.13315
2022-01-24 03:15:00,1.13335,1.13310,1.13340,1.13309
2022-01-24 03:30:00,1.13308,1.13287,1.13312,1.13277
2022-01-24 03:45:00,1.13287,1.13291,1.13304,1.13282
2022-01-24 04:00:00,1.13291,1.13304,1.13305,1.13282
2022-01-24 04:15:00,1.13303,1.13297,1.13308,1.13296
2022-01-24 04:30:00,1.13295,1.13315,1.13316,1.13292
2022-01-24 04:45:00,1.13314,1.13299,1.13314,1.13291
2022-01-24 05:00:00,1.13301,1.13276,1.13302,1.13266
2022-01-24 05:15:00,1.13275,1.13268,1.13286,1.13268
2022-01-24 05:30:00,1.13267,1.13265,1.13279,1.13257
2022-01-24 05:45:00,1.13264,1.13181,1.13276,1.13170
2022-01-24 06:00:00,1.13183,1.13171,1.13228,1.13165
2022-01-24 06:15:00,1.13172,1.13160,1.13190,1.13150
2022-01-24 06:30:00,1.13158,1.13193,1.13209,1.13152
2022-01-24 06:45:00,1.13194,1.13234,1.13235,1.13183
2022-01-24 07:00:00,1.13236,1.13214,1.13239,1.13201
2022-01-24 07:15:00,1.13213,1.13267,1.13267,1.13206
2022-01-24 07:30:00,1.13268,1.13251,1.13295,1.13244
2022-01-24 07:45:00,1.13250,1.13239,1.13253,1.13215
2022-01-24 08:00:00,1.13239,1.13192,1.13239,1.13141
2022-01-24 08:15:00,1.13191,1.13235,1.13244,1.13100
2022-01-24 08:30:00,1.13269,1.13258,1.13327,1.13233
2022-01-24 08:45:00,1.13257,1.13219,1.13262,1.13161
2022-01-24 09:00:00,1.13218,1.13271,1.13291,1.13212
2022-01-24 09:15:00,1.13271,1.13362,1.13365,1.13253
2022-01-24 09:30:00,1.13359,1.13280,1.13366,1.13273
2022-01-24 09:45:00,1.13280,1.13256,1.13284,1.13231
2022-01-24 10:00:00,1.13255,1.13250,1.13271,1.13222
2022-01-24 10:15:00,1.13249,1.13222,1.13282,1.13215
2022-01-24 10:30:00,1.13220,1.13184,1.13225,1.13175
2022-01-24 10:45:00,1.13183,1.13188,1.13233,1.13141
2022-01-24 11:00:00,1.13190,1.13216,1.13220,1.13162
2022-01-24 11:15:00,1.13215,1.13121,1.13217,1.13103
2022-01-24 11:30:00,1.13121,1.13120,1.13144,1.13104
2022-01-24 11:45:00,1.13119,1.13043,1.13122,1.13015
2022-01-24 12:00:00,1.13043,1.13089,1.13098,1.13002
2022-01-24 12:15:00,1.13089,1.13052,1.13103,1.13033
2022-01-24 12:30:00,1.13052,1.13045,1.13071,1.13001
2022-01-24 12:45:00,1.13046,1.12977,1.13051,1.12969
2022-01-24 13:00:00,1.12977,1.13037,1.13040,1.12965
2022-01-24 13:15:00,1.13038,1.13044,1.13070,1.13016
2022-01-24 13:30:00,1.13045,1.12983,1.13072,1.12983
2022-01-24 13:45:00,1.12983,1.12959,1.13007,1.12949
2022-01-24 14:00:00,1.12958,1.12967,1.13038,1.12937
2022-01-24 14:15:00,1.12968,1.12975,1.12998,1.12937
2022-01-24 14:30:00,1.12972,1.12938,1.13004,1.12907
2022-01-24 14:45:00,1.12938,1.12990,1.13010,1.12938
2022-01-24 15:00:00,1.12989,1.13024,1.13055,1.12915
2022-01-24 15:15:00,1.13024,1.13089,1.13107,1.12962
2022-01-24 15:30:00,1.13091,1.13216,1.13249,1.13088
2022-01-24 15:45:00,1.13214,1.13090,1.13221,1.13048
2022-01-24 16:00:00,1.13092,1.13141,1.13171,1.13047
2022-01-24 16:15:00,1.13139,1.13112,1.13164,1.13105
2022-01-24 16:30:00,1.13110,1.13134,1.13151,1.13094
2022-01-24 16:45:00,1.13133,1.13109,1.13148,1.13098
2022-01-24 17:00:00,1.13107,1.13151,1.13171,1.13096
2022-01-24 17:15:00,1.13153,1.13212,1.13213,1.13124
2022-01-24 17:30:00,1.13211,1.13269,1.13274,1.13206
2022-01-24 17:45:00,1.13270,1.13282,1.13295,1.13257
2022-01-24 18:00:00,1.13281,1.13315,1.13341,1.13277
2022-01-24 18:15:00,1.13316,1.13316,1.13340,1.13304
2022-01-24 18:30:00,1.13315,1.13308,1.13342,1.13297
2022-01-24 18:45:00,1.13308,1.13285,1.13352,1.13277
2022-01-24 19:00:00,1.13287,1.13316,1.13340,1.13286
2022-01-24 19:15:00,1.13317,1.13232,1.13320,1.13228
2022-01-24 19:30:00,1.13233,1.13240,1.13265,1.13224
2022-01-24 19:45:00,1.13241,1.13200,1.13246,1.13179
