time,open,close,high,low
2021-12-28 00:00:00,1.13297,1.13134,1.13336,1.12898
2021-12-29 00:00:00,1.13132,1.13599,1.13691,1.12739
2021-12-30 00:00:00,1.13600,1.13227,1.13601,1.12986
2021-12-31 00:00:00,1.13222,1.13751,1.13867,1.13035
2022-01-02 00:00:00,1.13776,1.13731,1.13802,1.13690
2022-01-03 00:00:00,1.13732,1.13023,1.13759,1.12800
2022-01-04 00:00:00,1.13023,1.12832,1.13226,1.12724
2022-01-05 00:00:00,1.12830,1.13109,1.13466,1.12773
2022-01-06 00:00:00,1.13110,1.12951,1.13321,1.12848
2022-01-07 00:00:00,1.12952,1.13629,1.13650,1.12902
2022-01-09 00:00:00,1.13575,1.13539,1.13620,1.13500
2022-01-10 00:00:00,1.13539,1.13303,1.13584,1.12852
2022-01-11 00:00:00,1.13301,1.13663,1.13756,1.13132
2022-01-12 00:00:00,1.13664,1.14398,1.14529,1.13549
2022-01-13 00:00:00,1.14396,1.14567,1.14820,1.14359
2022-01-14 00:00:00,1.14568,1.14167,1.14830,1.13986
2022-01-16 00:00:00,1.14206,1.14116,1.14206,1.14059
2022-01-17 00:00:00,1.14116,1.14102,1.14346,1.13921
2022-01-18 00:00:00,1.14105,1.13290,1.14217,1.13149
2022-01-19 00:00:00,1.13292,1.13433,1.13574,1.13191
2022-01-20 00:00:00,1.13434,1.13132,1.13692,1.13033
2022-01-21 00:00:00,1.13132,1.13455,1.13599,1.13012
2022-01-23 00:00:00,1.13455,1.13415,1.13477,1.13370
2022-01-24 00:00:00,1.13413,1.13240,1.13414,1.12907
2022-01-25 00:00:00,1.13241,1.13033,1.13244,1.12634
2022-01-26 00:00:00,1.13032,1.12411,1.13109,1.12357
2022-01-27 00:00:00,1.12410,1.11448,1.12437,1.11315
2022-01-28 00:00:00,1.11448,1.11531,1.11737,1.11216
2022-01-30 00:00:00,1.11484,1.11522,1.11528,1.11386
2022-01-31 00:00:00,1.11523,1.12296,1.12481,1.11444
2022-02-01 00:00:00,1.12296,1.12734,1.12789,1.12211
