time,open,close,high,low
2018-01-01 00:00:00,1.20143,1.20110,1.20173,1.20044
2018-01-02 00:00:00,1.20109,1.20618,1.20813,1.20081
2018-01-03 00:00:00,1.20619,1.20112,1.20641,1.20015
2018-01-04 00:00:00,1.20112,1.20669,1.20890,1.20046
2018-01-05 00:00:00,1.20666,1.20314,1.20833,1.20209
2018-01-07 00:00:00,1.20297,1.20373,1.20391,1.20284
2018-01-08 00:00:00,1.20373,1.19703,1.20525,1.19561
2018-01-09 00:00:00,1.19700,1.19287,1.19757,1.19158
2018-01-10 00:00:00,1.19284,1.19561,1.20181,1.19234
2018-01-11 00:00:00,1.19560,1.20431,1.20591,1.19294
2018-01-12 00:00:00,1.20431,1.22051,1.22186,1.20402
2018-01-14 00:00:00,1.21962,1.21923,1.22122,1.21910
2018-01-15 00:00:00,1.21923,1.22669,1.22968,1.21879
2018-01-16 00:00:00,1.22670,1.22710,1.22831,1.21954
2018-01-17 00:00:00,1.22710,1.21806,1.23233,1.21656
2018-01-18 00:00:00,1.21807,1.22346,1.22650,1.21737
2018-01-19 00:00:00,1.22345,1.22174,1.22956,1.22150
2018-01-21 00:00:00,1.22708,1.22563,1.22739,1.22342
2018-01-22 00:00:00,1.22563,1.22566,1.22673,1.22142
2018-01-23 00:00:00,1.22566,1.23092,1.23153,1.22231
2018-01-24 00:00:00,1.23091,1.23929,1.24151,1.22925
2018-01-25 00:00:00,1.23924,1.23916,1.25375,1.23643
2018-01-26 00:00:00,1.23916,1.24315,1.24938,1.23865
2018-01-28 00:00:00,1.24291,1.24316,1.24316,1.24141
2018-01-29 00:00:00,1.24314,1.23811,1.24326,1.23369
2018-01-30 00:00:00,1.23811,1.24088,1.24541,1.23352
2018-01-31 00:00:00,1.24086,1.24172,1.24750,1.23874
2018-02-01 00:00:00,1.24173,1.25109,1.25233,1.23856
2018-02-02 00:00:00,1.25110,1.24608,1.25183,1.24094
2018-02-04 00:00:00,1.24391,1.24467,1.24551,1.24247
2018-02-05 00:00:00,1.24464,1.23672,1.24751,1.23630
2018-02-06 00:00:00,1.23674,1.23807,1.24348,1.23141
2018-02-07 00:00:00,1.23806,1.22703,1.24059,1.22460
2018-02-08 00:00:00,1.22703,1.22608,1.22951,1.22124
2018-02-09 00:00:00,1.22611,1.22535,1.22875,1.22058
2018-02-11 00:00:00,1.22501,1.22527,1.22535,1.22431
2018-02-12 00:00:00,1.22527,1.23008,1.23076,1.22353
2018-02-13 00:00:00,1.23010,1.23540,1.23713,1.22847
2018-02-14 00:00:00,1.23540,1.24686,1.24700,1.22763
2018-02-15 00:00:00,1.24686,1.25032,1.25105,1.24483
2018-02-16 00:00:00,1.25031,1.24123,1.25556,1.23935
2018-02-18 00:00:00,1.24035,1.24121,1.24206,1.24035
2018-02-19 00:00:00,1.24122,1.24006,1.24352,1.23693
2018-02-20 00:00:00,1.24004,1.23358,1.24109,1.23201
2018-02-21 00:00:00,1.23357,1.22807,1.23602,1.22737
2018-02-22 00:00:00,1.22809,1.23259,1.23523,1.22598
2018-02-23 00:00:00,1.23257,1.22975,1.23319,1.22800
2018-02-25 00:00:00,1.22953,1.22887,1.22968,1.22814
2018-02-26 00:00:00,1.22887,1.23156,1.23552,1.22777
2018-02-27 00:00:00,1.23156,1.22263,1.23466,1.22217
2018-02-28 00:00:00,1.22262,1.21918,1.22413,1.21881
2018-03-01 00:00:00,1.21918,1.22714,1.22751,1.21548
2018-03-02 00:00:00,1.22712,1.23203,1.23361,1.22517
2018-03-04 00:00:00,1.23296,1.23179,1.23652,1.23000
2018-03-05 00:00:00,1.23179,1.23369,1.23489,1.22691
2018-03-06 00:00:00,1.23369,1.24160,1.24292,1.23283
2018-03-07 00:00:00,1.24156,1.24127,1.24457,1.23850
2018-03-08 00:00:00,1.24126,1.23071,1.24463,1.22983
2018-03-09 00:00:00,1.23072,1.23061,1.23345,1.22733
2018-03-11 00:00:00,1.23176,1.23088,1.23177,1.23064
2018-03-12 00:00:00,1.23088,1.23389,1.23457,1.22905
2018-03-13 00:00:00,1.23385,1.23933,1.24076,1.23148
2018-03-14 00:00:00,1.23930,1.23751,1.24128,1.23474
2018-03-15 00:00:00,1.23752,1.23065,1.23838,1.23004
2018-03-16 00:00:00,1.23063,1.22904,1.23363,1.22603
2018-03-18 00:00:00,1.22857,1.22810,1.22938,1.22801
2018-03-19 00:00:00,1.22810,1.23367,1.23588,1.22582
2018-03-20 00:00:00,1.23367,1.22485,1.23547,1.22401
2018-03-21 00:00:00,1.22485,1.23466,1.23502,1.22469
2018-03-22 00:00:00,1.23467,1.23244,1.23885,1.22857
2018-03-23 00:00:00,1.23242,1.23548,1.23737,1.23170
2018-03-25 00:00:00,1.23551,1.23546,1.23680,1.23531
2018-03-26 00:00:00,1.23546,1.24575,1.24619,1.23520
2018-03-27 00:00:00,1.24572,1.24089,1.24766,1.23725
2018-03-28 00:00:00,1.24089,1.23129,1.24219,1.23003
2018-03-29 00:00:00,1.23125,1.23030,1.23354,1.22841
2018-03-30 00:00:00,1.23030,1.23261,1.23313,1.22913
2018-04-01 00:00:00,1.23267,1.23130,1.23272,1.23129
2018-04-02 00:00:00,1.23130,1.22934,1.23452,1.22823
2018-04-03 00:00:00,1.22933,1.22785,1.23353,1.22540
2018-04-04 00:00:00,1.22785,1.22877,1.23148,1.22572
2018-04-05 00:00:00,1.22877,1.22489,1.22902,1.22185
2018-04-06 00:00:00,1.22491,1.22834,1.22909,1.22154
2018-04-08 00:00:00,1.22896,1.22712,1.22896,1.22659
2018-04-09 00:00:00,1.22711,1.23209,1.23310,1.22605
2018-04-10 00:00:00,1.23209,1.23630,1.23778,1.23030
2018-04-11 00:00:00,1.23630,1.23720,1.23972,1.23473
2018-04-12 00:00:00,1.23721,1.23297,1.23799,1.22995
2018-04-13 00:00:00,1.23296,1.23324,1.23460,1.23072
2018-04-15 00:00:00,1.23360,1.23319,1.23390,1.23256
2018-04-16 00:00:00,1.23318,1.23841,1.23948,1.23244
2018-04-17 00:00:00,1.23841,1.23727,1.24138,1.23365
2018-04-18 00:00:00,1.23728,1.23790,1.23974,1.23420
2018-04-19 00:00:00,1.23790,1.23436,1.24002,1.23292
2018-04-20 00:00:00,1.23436,1.22903,1.23531,1.22502
2018-04-22 00:00:00,1.22772,1.22742,1.22890,1.22731
2018-04-23 00:00:00,1.22742,1.22097,1.22897,1.21979
2018-04-24 00:00:00,1.22098,1.22377,1.22450,1.21821
2018-04-25 00:00:00,1.22377,1.21708,1.22377,1.21603
2018-04-26 00:00:00,1.21709,1.21085,1.22103,1.20965
2018-04-27 00:00:00,1.21085,1.21332,1.21334,1.20557
2018-04-29 00:00:00,1.21250,1.21229,1.21300,1.21191
2018-04-30 00:00:00,1.21230,1.20819,1.21389,1.20644
2018-05-01 00:00:00,1.20821,1.19914,1.20833,1.19816
2018-05-02 00:00:00,1.19913,1.19510,1.20320,1.19382
2018-05-03 00:00:00,1.19509,1.19892,1.20091,1.19481
2018-05-04 00:00:00,1.19892,1.19640,1.19957,1.19109
2018-05-06 00:00:00,1.19637,1.19548,1.19661,1.19548
2018-05-07 00:00:00,1.19547,1.19333,1.19782,1.18979
2018-05-08 00:00:00,1.19334,1.18675,1.19390,1.18382
2018-05-09 00:00:00,1.18675,1.18471,1.18972,1.18228
2018-05-10 00:00:00,1.18466,1.19140,1.19467,1.18441
2018-05-11 00:00:00,1.19141,1.19451,1.19681,1.18914
2018-05-13 00:00:00,1.19463,1.19529,1.19560,1.19413
2018-05-14 00:00:00,1.19530,1.19313,1.19962,1.19240
2018-05-15 00:00:00,1.19313,1.18208,1.19386,1.18174
2018-05-16 00:00:00,1.18208,1.18151,1.18543,1.17638
2018-05-17 00:00:00,1.18150,1.17905,1.18378,1.17766
2018-05-18 00:00:00,1.17906,1.17747,1.18223,1.17500
2018-05-20 00:00:00,1.17766,1.17657,1.17766,1.17608
2018-05-21 00:00:00,1.17655,1.17903,1.17976,1.17167
2018-05-22 00:00:00,1.17902,1.17885,1.18299,1.17568
2018-05-23 00:00:00,1.17885,1.17096,1.17895,1.16760
2018-05-24 00:00:00,1.17094,1.17224,1.17505,1.16911
2018-05-25 00:00:00,1.17224,1.16516,1.17337,1.16463
2018-05-27 00:00:00,1.16878,1.16887,1.16925,1.16771
2018-05-28 00:00:00,1.16888,1.16266,1.17287,1.16077
2018-05-29 00:00:00,1.16268,1.15379,1.16397,1.15102
2018-05-30 00:00:00,1.15379,1.16649,1.16760,1.15188
2018-05-31 00:00:00,1.16649,1.16925,1.17244,1.16414
2018-06-01 00:00:00,1.16926,1.16602,1.17182,1.16172
2018-06-03 00:00:00,1.16644,1.16678,1.16699,1.16605
2018-06-04 00:00:00,1.16675,1.17005,1.17447,1.16673
2018-06-05 00:00:00,1.17005,1.17264,1.17327,1.16528
2018-06-06 00:00:00,1.17264,1.17816,1.17960,1.17141
2018-06-07 00:00:00,1.17813,1.17934,1.18401,1.17813
2018-06-08 00:00:00,1.17933,1.17708,1.18105,1.17274
2018-06-10 00:00:00,1.17761,1.17849,1.17860,1.17715
2018-06-11 00:00:00,1.17848,1.17728,1.18207,1.17716
2018-06-12 00:00:00,1.17729,1.17480,1.18093,1.17338
2018-06-13 00:00:00,1.17480,1.18035,1.18050,1.17258
2018-06-14 00:00:00,1.18036,1.15634,1.18521,1.15611
2018-06-15 00:00:00,1.15631,1.16103,1.16272,1.15436
2018-06-17 00:00:00,1.15906,1.15933,1.16030,1.15884
2018-06-18 00:00:00,1.15933,1.16301,1.16415,1.15657
2018-06-19 00:00:00,1.16300,1.15883,1.16448,1.15309
2018-06-20 00:00:00,1.15883,1.15779,1.16000,1.15371
2018-06-21 00:00:00,1.15778,1.16045,1.16338,1.15085
2018-06-22 00:00:00,1.16045,1.16590,1.16750,1.16009
2018-06-24 00:00:00,1.16648,1.16604,1.16730,1.16604
2018-06-25 00:00:00,1.16607,1.17013,1.17133,1.16290
2018-06-26 00:00:00,1.17012,1.16498,1.17205,1.16351
2018-06-27 00:00:00,1.16498,1.15632,1.16722,1.15410
2018-06-28 00:00:00,1.15632,1.15638,1.16006,1.15275
2018-06-29 00:00:00,1.15637,1.16858,1.16906,1.15636
2018-07-01 00:00:00,1.16804,1.16790,1.16938,1.16639
2018-07-02 00:00:00,1.16782,1.16419,1.16792,1.15915
2018-07-03 00:00:00,1.16415,1.16593,1.16732,1.16208
2018-07-04 00:00:00,1.16591,1.16607,1.16820,1.16308
2018-07-05 00:00:00,1.16607,1.16921,1.17203,1.16501
2018-07-06 00:00:00,1.16921,1.17464,1.17679,1.16803
2018-07-08 00:00:00,1.17432,1.17521,1.17548,1.17432
2018-07-09 00:00:00,1.17516,1.17564,1.17908,1.17330
2018-07-10 00:00:00,1.17562,1.17283,1.17628,1.16906
2018-07-11 00:00:00,1.17283,1.16754,1.17583,1.16657
2018-07-12 00:00:00,1.16754,1.16644,1.16957,1.16500
2018-07-13 00:00:00,1.16644,1.16885,1.16885,1.16133
2018-07-15 00:00:00,1.16912,1.16787,1.16943,1.16774
2018-07-16 00:00:00,1.16787,1.17094,1.17256,1.16759
2018-07-17 00:00:00,1.17094,1.16534,1.17449,1.16489
2018-07-18 00:00:00,1.16537,1.16453,1.16651,1.16022
2018-07-19 00:00:00,1.16451,1.16548,1.16789,1.15751
2018-07-20 00:00:00,1.16549,1.17205,1.17392,1.16266
2018-07-22 00:00:00,1.17285,1.17407,1.17458,1.17239
2018-07-23 00:00:00,1.17407,1.16939,1.17499,1.16839
2018-07-24 00:00:00,1.16938,1.16848,1.17171,1.16549
2018-07-25 00:00:00,1.16848,1.17384,1.17390,1.16642
2018-07-26 00:00:00,1.17383,1.16441,1.17439,1.16382
2018-07-27 00:00:00,1.16438,1.16585,1.16646,1.16208
2018-07-29 00:00:00,1.16604,1.16596,1.16609,1.16563
2018-07-30 00:00:00,1.16595,1.17076,1.17190,1.16482
2018-07-31 00:00:00,1.17077,1.16894,1.17461,1.16841
2018-08-01 00:00:00,1.16894,1.16635,1.16998,1.16575
2018-08-02 00:00:00,1.16635,1.15853,1.16678,1.15820
2018-08-03 00:00:00,1.15854,1.15691,1.16107,1.15605
2018-08-05 00:00:00,1.15731,1.15617,1.15732,1.15606
2018-08-06 00:00:00,1.15616,1.15584,1.15706,1.15302
2018-08-07 00:00:00,1.15583,1.16033,1.16084,1.15518
2018-08-08 00:00:00,1.16033,1.16095,1.16285,1.15734
2018-08-09 00:00:00,1.16095,1.15242,1.16194,1.15166
2018-08-10 00:00:00,1.15242,1.14130,1.15366,1.13883
2018-08-12 00:00:00,1.13731,1.13950,1.14118,1.13727
2018-08-13 00:00:00,1.13949,1.14009,1.14330,1.13652
2018-08-14 00:00:00,1.14008,1.13470,1.14296,1.13304
2018-08-15 00:00:00,1.13470,1.13419,1.13551,1.13012
2018-08-16 00:00:00,1.13419,1.13721,1.14093,1.13361
2018-08-17 00:00:00,1.13721,1.14396,1.14450,1.13667
2018-08-19 00:00:00,1.14419,1.14381,1.14419,1.14357
2018-08-20 00:00:00,1.14382,1.14921,1.14934,1.13947
2018-08-21 00:00:00,1.14919,1.15762,1.16015,1.14859
2018-08-22 00:00:00,1.15762,1.15862,1.16231,1.15534
2018-08-23 00:00:00,1.15861,1.15423,1.15909,1.15301
2018-08-24 00:00:00,1.15421,1.16223,1.16400,1.15383
2018-08-26 00:00:00,1.16189,1.16453,1.16536,1.16182
2018-08-27 00:00:00,1.16453,1.16844,1.16938,1.15948
2018-08-28 00:00:00,1.16844,1.16936,1.17337,1.16628
2018-08-29 00:00:00,1.16935,1.17097,1.17107,1.16523
2018-08-30 00:00:00,1.17097,1.16656,1.17185,1.16419
2018-08-31 00:00:00,1.16656,1.16054,1.16904,1.15848
2018-09-02 00:00:00,1.15989,1.15984,1.16048,1.15929
2018-09-03 00:00:00,1.15982,1.16144,1.16280,1.15892
2018-09-04 00:00:00,1.16143,1.15874,1.16144,1.15304
2018-09-05 00:00:00,1.15874,1.16347,1.16401,1.15430
2018-09-06 00:00:00,1.16347,1.16201,1.16595,1.16057
2018-09-07 00:00:00,1.16202,1.15545,1.16496,1.15509
2018-09-09 00:00:00,1.15506,1.15608,1.15611,1.15481
2018-09-10 00:00:00,1.15608,1.15938,1.16165,1.15262
2018-09-11 00:00:00,1.15938,1.15960,1.16443,1.15657
2018-09-12 00:00:00,1.15956,1.16258,1.16499,1.15704
2018-09-13 00:00:00,1.16256,1.16914,1.17012,1.16093
2018-09-14 00:00:00,1.16915,1.16246,1.17218,1.16209
2018-09-16 00:00:00,1.16271,1.16237,1.16340,1.16222
2018-09-17 00:00:00,1.16237,1.16690,1.16983,1.16182
2018-09-18 00:00:00,1.16688,1.16779,1.17245,1.16524
2018-09-19 00:00:00,1.16780,1.16743,1.17151,1.16503
2018-09-20 00:00:00,1.16739,1.17758,1.17847,1.16722
2018-09-21 00:00:00,1.17758,1.17523,1.18030,1.17329
2018-09-23 00:00:00,1.17504,1.17489,1.17532,1.17419
2018-09-24 00:00:00,1.17485,1.17529,1.18154,1.17244
2018-09-25 00:00:00,1.17529,1.17631,1.17928,1.17312
2018-09-26 00:00:00,1.17631,1.17473,1.17981,1.17260
2018-09-27 00:00:00,1.17473,1.16363,1.17573,1.16333
2018-09-28 00:00:00,1.16363,1.16053,1.16514,1.15699
2018-09-30 00:00:00,1.16207,1.16055,1.16207,1.16031
2018-10-01 00:00:00,1.16055,1.15774,1.16249,1.15638
2018-10-02 00:00:00,1.15774,1.15507,1.15803,1.15054
2018-10-03 00:00:00,1.15507,1.14766,1.15940,1.14647
2018-10-04 00:00:00,1.14767,1.15178,1.15428,1.14635
2018-10-05 00:00:00,1.15176,1.15243,1.15500,1.14842
